"Gene.symbol","logFC","P.Value","adj.P.Val"
"Ap3b2",0.121,0.0749,0.28
"Adprm",0.165,0.075,0.28
"Cryba2",0.18,0.075,0.28
"Cabp7",-0.154,0.0751,0.28
"Uqcrh",0.107,0.0751,0.28
"C8g",0.174,0.0751,0.28
"Lamp2",-0.211,0.0751,0.28
"Lztfl1",-0.151,0.0751,0.28
"Actr1b",0.133,0.0752,0.28
"Hhat",0.123,0.0752,0.28
"Cacnb1",0.141,0.0753,0.28
"Bmp2",0.207,0.0753,0.28
"Slc7a13",0.122,0.0753,0.28
"Ovca2///Dph1",-0.184,0.0753,0.28
"Rpl4",-0.118,0.0754,0.281
"Acadsb",0.18,0.0754,0.281
"Ift20",0.155,0.0755,0.281
"Atxn7l3",0.12,0.0756,0.281
"Atpif1",-0.241,0.0756,0.281
"Mgmt",-0.22,0.0756,0.281
"Cdc20",-0.399,0.0756,0.281
"Herpud2",0.141,0.0757,0.281
"Bcl9l",0.165,0.0757,0.281
"Tmem216",-0.161,0.0757,0.281
"Axin2",0.173,0.0758,0.282
"Gpr84",0.18,0.0758,0.282
"Gm15455///Rbm10",0.133,0.0758,0.282
"Pars2",0.186,0.076,0.282
"Dlgap4",0.151,0.0761,0.282
"Htatip2",-0.268,0.0761,0.282
"Rap1gds1",0.131,0.0761,0.282
"Gm17748///Ppih",0.152,0.0762,0.282
"Marco",0.426,0.0762,0.283
"Prss44",0.15,0.0763,0.283
"Pprc1",0.171,0.0764,0.283
"Clec5a",0.17,0.0764,0.283
"Cyr61",0.128,0.0765,0.283
"Chl1",0.107,0.0765,0.283
"0610010K14Rik///Rnasek",-0.318,0.0765,0.283
"St8sia5",0.12,0.0765,0.283
"Ddx26b",0.13,0.0766,0.283
"Vmn2r10",-0.13,0.0766,0.283
"Wbp1l",0.153,0.0766,0.283
"Mgea5",0.12,0.0767,0.284
"Clpb",-0.139,0.0768,0.284
"Ugdh",-0.197,0.0768,0.284
"Mapk6",-0.157,0.0769,0.284
"Brix1",-0.163,0.077,0.284
"Surf6",0.144,0.077,0.284
"Gimap4",-0.118,0.077,0.284
"Rcor3",0.161,0.077,0.284
"Cish",0.282,0.077,0.284
"Grm1",0.149,0.077,0.284
"Ppnr",0.167,0.077,0.284
"Ybx2",0.174,0.077,0.284
"Rbl1",-0.208,0.077,0.284
"Kcnab3",0.12,0.0771,0.284
"Klhdc2",-0.188,0.0772,0.284
"Bdkrb1",0.234,0.0772,0.284
"Dgkg",0.184,0.0772,0.284
"C79246",-0.164,0.0772,0.285
"Wdr81",-0.127,0.0774,0.285
"Ctsh",0.134,0.0774,0.285
"Dcx",0.197,0.0775,0.285
"Ftmt",-0.195,0.0775,0.285
"Top3b",-0.217,0.0775,0.285
"Fzd3",0.165,0.0775,0.285
"Pdlim1",-0.179,0.0775,0.285
"Zfp113",-0.17,0.0775,0.285
"Hccs",-0.156,0.0776,0.285
"Fance",0.124,0.0776,0.285
"Pard3b",0.186,0.0776,0.285
"Mtmr3",0.153,0.0776,0.285
"Med1",-0.184,0.0777,0.285
"Arhgap12",0.217,0.0777,0.285
"Tbata",0.205,0.0777,0.285
"Zfp830",0.154,0.0777,0.285
"Wfikkn1",0.186,0.0777,0.285
"Dyrk1b",0.128,0.0778,0.286
"Tmem206",-0.258,0.0779,0.286
"Taf11",0.184,0.078,0.286
"Ap1ar",-0.219,0.078,0.286
"Ms4a4b",0.106,0.078,0.286
"Hdhd1a",0.172,0.078,0.286
"Sub1",-0.168,0.078,0.286
"Nup188",0.146,0.0781,0.286
"Rac3",0.126,0.0781,0.286
"Gm14277///Snrpd1",-0.162,0.0781,0.286
"U2af1l4",-0.164,0.0783,0.287
"Mndal",-0.206,0.0783,0.287
"Plcb3",0.122,0.0784,0.287
"Tmsb10",-0.175,0.0784,0.287
"Ywhah",-0.154,0.0784,0.287
"Rab37",0.217,0.0784,0.287
"2210407C18Rik",0.22,0.0785,0.287
"Tal1",0.112,0.0785,0.287
"Slc35a4",0.139,0.0785,0.287
"Pou3f3",0.123,0.0785,0.287
"Mecp2",0.122,0.0786,0.287
"a",0.136,0.0786,0.287
"Stra6",0.137,0.0788,0.287
"Arx",0.103,0.0788,0.287
"Ralgps2",-0.165,0.0788,0.287
"Zfp790",0.167,0.0788,0.287
"Rab31",-0.138,0.0789,0.288
"Srsf9",0.14,0.0789,0.288
"Chd1",0.112,0.0789,0.288
"Fem1b",0.175,0.0789,0.288
"Adcyap1r1",0.13,0.0789,0.288
"Zfp652///Phospho1",-0.197,0.079,0.288
"Fbp1",-0.104,0.079,0.288
"Oprm1",0.164,0.079,0.288
"Dbh",0.182,0.0791,0.288
"Trps1",-0.145,0.0792,0.288
"BB283400",0.163,0.0792,0.288
"Cd2bp2",0.133,0.0792,0.288
"Zfp626",0.128,0.0792,0.288
"Slc7a8",-0.166,0.0793,0.288
"Tubb2a-ps2///Tubb2b",0.137,0.0793,0.288
"Nid2",0.114,0.0793,0.288
"Ahrr",0.126,0.0793,0.288
"2700097O09Rik",0.154,0.0794,0.289
"Odf3",0.111,0.0795,0.289
"Comp",0.188,0.0795,0.289
"T2",0.131,0.0795,0.289
"Dapp1",0.14,0.0796,0.289
"Shroom3",-0.149,0.0796,0.289
"Casc3",0.125,0.0796,0.289
"Nkx2-6",0.147,0.0797,0.289
"Vip",0.125,0.0797,0.289
"Pmepa1",0.164,0.0797,0.289
"Picalm",-0.214,0.0797,0.289
"4930520O04Rik",-0.129,0.0797,0.289
"Ints6",0.341,0.0799,0.29
"Lin7b",0.18,0.08,0.29
"Cdc42ep4",0.165,0.08,0.29
"Gabarap",-0.106,0.08,0.29
"Os9",0.106,0.08,0.29
"Tti1",0.17,0.0801,0.29
"Ahcy",0.121,0.0802,0.29
"Car9",-0.218,0.0802,0.29
"Tshz1",-0.253,0.0803,0.29
"Col14a1",-0.187,0.0803,0.29
"Taok1",0.152,0.0803,0.29
"Cd55",0.131,0.0803,0.29
"Diexf",0.171,0.0803,0.29
"Ppm1d",0.119,0.0804,0.29
"Irak1",-0.175,0.0805,0.29
"D8Ertd107e",0.157,0.0805,0.29
"Zfp85os",0.136,0.0805,0.29
"Syt8",0.131,0.0805,0.29
"Cfl2",-0.183,0.0805,0.29
"Dync1i2",-0.119,0.0806,0.29
"Phf8",0.173,0.0806,0.291
"Chrna6",0.127,0.0807,0.291
"Uqcrc2",-0.141,0.0807,0.291
"Rchy1",0.144,0.0807,0.291
"C76533",0.129,0.0808,0.291
"Zdhhc16",0.137,0.0808,0.291
"Guca1a",-0.173,0.0809,0.291
"Npepl1",0.119,0.0809,0.291
"Chchd4",-0.166,0.081,0.291
"Lamb1",-0.155,0.081,0.291
"Gm21948///Il4i1",0.111,0.081,0.291
"Pkdrej",-0.169,0.081,0.291
"Tex101",0.173,0.0811,0.291
"2810417H13Rik",-0.172,0.0811,0.292
"Ak3",-0.147,0.0812,0.292
"H2-Ab1",-0.268,0.0812,0.292
"Extl1",-0.174,0.0812,0.292
"C86187",0.131,0.0813,0.292
"Rnh1",-0.15,0.0813,0.292
"Odf2l",-0.119,0.0813,0.292
"Cd27",0.143,0.0814,0.292
"Mios",0.133,0.0814,0.292
"Surf2",0.13,0.0814,0.292
"Agtrap",0.124,0.0814,0.292
"Xpnpep2",0.245,0.0814,0.292
"Dctpp1",0.153,0.0815,0.292
"Ep400",0.139,0.0815,0.292
"Sugp1",-0.102,0.0815,0.292
"Nr2f1",0.102,0.0815,0.292
"Pgrmc2",-0.13,0.0817,0.292
"Usp22",-0.13,0.0817,0.292
"Trim23",-0.217,0.0817,0.292
"Ttc3",-0.151,0.0817,0.292
"Zfand1",-0.159,0.0817,0.292
"Gm14680///Sms",-0.151,0.0818,0.293
"Inhbb",0.12,0.0818,0.293
"Gatsl2",0.142,0.0819,0.293
"Scand1",-0.179,0.0819,0.293
"Ids",-0.11,0.0821,0.293
"Krtap16-3",0.145,0.0821,0.293
"Spp1",-0.293,0.0821,0.293
"Scn3b",0.117,0.0821,0.293
"Fmnl1",0.143,0.0822,0.294
"Syncrip",-0.126,0.0822,0.294
"N4bp3",0.142,0.0822,0.294
"Slmo1",0.121,0.0823,0.294
"Cers1///Gdf1",0.122,0.0823,0.294
"Arglu1",0.11,0.0824,0.294
"Dnm3",0.173,0.0824,0.294
"Elavl4",0.139,0.0824,0.294
"Tfap2b",0.125,0.0825,0.294
"Sp4",0.133,0.0825,0.294
"6330408A02Rik",0.144,0.0825,0.294
"Polr1b",0.126,0.0825,0.294
"Zcchc7",-0.166,0.0825,0.294
"Pus7",-0.122,0.0825,0.294
"Emilin3",0.103,0.0826,0.294
"Sfxn2",-0.198,0.0827,0.294
"Dennd4c",-0.202,0.0827,0.295
"Bicd1",0.134,0.0828,0.295
"2610301B20Rik",-0.142,0.0828,0.295
"Creb1",0.124,0.0828,0.295
"Gm9222",0.205,0.0829,0.295
"Nanp",-0.171,0.0829,0.295
"Tnmd",0.154,0.0829,0.295
"Map2k3os",0.118,0.0829,0.295
"Tmed4",-0.12,0.0829,0.295
"Mrpl17",-0.133,0.083,0.295
"Son",0.132,0.083,0.295
"Arnt",0.135,0.083,0.295
"Slc5a1",0.284,0.0831,0.295
"Kcns1",0.258,0.0831,0.295
"Mef2c",0.13,0.0831,0.295
"Gdi2",0.115,0.0831,0.295
"Pde9a",-0.212,0.0831,0.295
"Eef2",0.105,0.0831,0.295
"Fcna",-0.154,0.0832,0.295
"Map2k1",-0.12,0.0833,0.295
"C1ra",0.201,0.0833,0.295
"Mapk8ip3",0.165,0.0833,0.296
"Actc1",0.147,0.0834,0.296
"Ppp1r14d",0.247,0.0834,0.296
"Fut1",-0.127,0.0835,0.296
"Nup43",0.146,0.0835,0.296
"Trib3",-0.196,0.0835,0.296
"Rtn4r",0.14,0.0836,0.296
"Golga7",-0.232,0.0837,0.296
"Pisd-ps3",0.254,0.0837,0.296
"Dusp22",0.12,0.0838,0.296
"Sync",0.125,0.0838,0.296
"Ptpn23",0.123,0.0838,0.296
"Dctn3",-0.121,0.0838,0.296
"Cd38",-0.275,0.0839,0.296
"Dpysl3",0.155,0.0839,0.296
"Vps72",0.147,0.0839,0.297
"Ccnd2",0.177,0.0839,0.297
"Msl3l2",0.179,0.084,0.297
"Theg",-0.139,0.084,0.297
"Ptgs1",-0.118,0.084,0.297
"LOC102641972///Ptprj",-0.13,0.084,0.297
"Slc30a3",0.145,0.084,0.297
"Atp2c2",0.243,0.084,0.297
"Siglec1",0.135,0.0841,0.297
"Pitx2",0.197,0.0841,0.297
"Serpina10",-0.224,0.0841,0.297
"Hnrnpl",0.245,0.0842,0.297
"Srpk1",0.122,0.0842,0.297
"Rabep1",0.151,0.0842,0.297
"Fbxo2",0.184,0.0842,0.297
"Podxl",0.147,0.0843,0.297
"Rabggta",0.109,0.0843,0.297
"Ptbp1",-0.141,0.0843,0.297
"Cutc",0.15,0.0844,0.297
"Ric8a",-0.144,0.0844,0.297
"Akr1a1",-0.163,0.0844,0.297
"Ankrd28///3110068a07rik",0.187,0.0845,0.298
"Gm5621///Rpl10",-0.148,0.0846,0.298
"Kmt2d",0.129,0.0847,0.298
"Klf16",0.195,0.0847,0.298
"Vgll1",-0.122,0.0847,0.298
"Maml1",0.141,0.0848,0.298
"Efnb3",0.131,0.0848,0.298
"Stx12",0.157,0.0849,0.298
"Klk10",0.179,0.0849,0.298
"Fnta",0.132,0.0849,0.298
"Taf12",0.128,0.0849,0.298
"Ythdc1",-0.149,0.0849,0.298
"Actn3",0.126,0.0849,0.298
"Trappc1",-0.152,0.0849,0.298
"Pgs1",0.198,0.0849,0.298
"Fam214b",0.192,0.085,0.298
"Casp12",0.121,0.085,0.298
"Abi3bp",0.146,0.085,0.298
"D1Ertd83e",0.141,0.0851,0.298
"Rpl7",-0.125,0.0851,0.298
"Tln1",-0.173,0.0851,0.298
"Gm9835///Gmfg",0.144,0.0851,0.298
"Zfp60",0.138,0.0852,0.299
"Lrrtm1",0.12,0.0852,0.299
"Sult3a1",-0.542,0.0852,0.299
"Il6ra",0.161,0.0853,0.299
"Msmo1",-0.659,0.0854,0.299
"Hivep1",-0.121,0.0854,0.299
"Rs1",0.168,0.0855,0.299
"Cnnm3",0.158,0.0855,0.299
"C77681",0.157,0.0855,0.299
"Mtmr10",0.129,0.0856,0.299
"Dtx1",0.138,0.0856,0.299
"BC006965",-0.115,0.0856,0.299
"Apobec3",0.114,0.0856,0.299
"Ppp1r1b",0.168,0.0856,0.299
"Prpf40b",0.184,0.0857,0.299
"Zfp120",0.108,0.0858,0.3
"Krt14",-0.127,0.0858,0.3
"Myo7b",-0.185,0.0858,0.3
"Pask",0.178,0.0859,0.3
"Cdt1",-0.17,0.0859,0.3
"Naglu",-0.219,0.0859,0.3
"Trpd52l3",0.118,0.0859,0.3
"St6galnac2",0.18,0.0859,0.3
"3632451O06Rik",0.0995,0.086,0.3
"Gm8479",0.133,0.086,0.3
"Ggact",0.163,0.086,0.3
"Sap30l",-0.121,0.086,0.3
"Riok3",0.122,0.086,0.3
"Pde1c",0.16,0.086,0.3
"BC004004",0.126,0.0861,0.3
"Pias4",0.131,0.0861,0.3
"Fermt3",-0.232,0.0861,0.3
"Rdh14",-0.13,0.0862,0.3
"Lrba",-0.137,0.0862,0.3
"Ik",-0.114,0.0863,0.3
"Gtpbp4",-0.165,0.0863,0.3
"Ap1g1",0.132,0.0863,0.3
"Smyd2",-0.217,0.0863,0.3
"Fibin",0.122,0.0863,0.3
"Zranb1",0.233,0.0863,0.3
"Hic1",0.131,0.0863,0.3
"Timm44",0.158,0.0863,0.3
"Cubn",0.178,0.0863,0.3
"AA516738",0.162,0.0863,0.3
"Sh3bgrl",-0.235,0.0863,0.3
"Rnf4",-0.143,0.0864,0.3
"Pnpla3",-0.128,0.0864,0.3
"Wap",0.113,0.0864,0.3
"Carns1",0.131,0.0864,0.3
"Myrf",0.125,0.0865,0.3
"Cdc37",0.117,0.0866,0.3
"Ikbkb",-0.133,0.0866,0.301
"Cps1",-0.162,0.0867,0.301
"Nrg3",-0.133,0.0867,0.301
"Cyp2c38",-0.534,0.0867,0.301
"Hoxa11",0.115,0.0867,0.301
"Taok3",-0.186,0.0867,0.301
"Ptpn1",0.112,0.0868,0.301
"Eif4g2",0.132,0.0868,0.301
"Mest",0.15,0.0869,0.301
"Pcdhb11",0.112,0.087,0.301
"Chga",0.188,0.087,0.301
"Tox4",0.144,0.087,0.301
"Mrpl2",0.131,0.087,0.301
"Mdfic",-0.285,0.0871,0.301
"Zbtb8a",0.159,0.0871,0.301
"Baiap3",0.142,0.0871,0.302
"Ocstamp",-0.173,0.0872,0.302
"Tat",0.228,0.0872,0.302
"Cma1",0.127,0.0872,0.302
"Rbmx2",0.142,0.0873,0.302
"Tbce",0.165,0.0874,0.302
"Mpdz",-0.352,0.0874,0.302
"Ankrd33b",-0.236,0.0874,0.302
"Dohh",0.204,0.0874,0.302
"Rbm17",-0.174,0.0875,0.302
"Tmem27",0.112,0.0875,0.302
"Pdcd10",-0.206,0.0876,0.302
"Kcnip3",0.162,0.0876,0.302
"Hils1",0.189,0.0877,0.302
"Rassf7",-0.134,0.0877,0.303
"Oaz1-ps///Oaz1",0.114,0.0877,0.303
"Olfm1",0.142,0.0878,0.303
"Enpp2",-0.482,0.0878,0.303
"Fhod3",0.159,0.0878,0.303
"Spdef",0.153,0.088,0.303
"Kif3b",0.153,0.088,0.303
"Anpep",-0.194,0.0881,0.303
"Heyl",0.125,0.0881,0.303
"Trim60",0.131,0.0881,0.303
"Mt3",0.12,0.0882,0.303
"Cypt7///Cypt8///Cypt1",-0.194,0.0882,0.303
"Mc1r",0.185,0.0882,0.303
"Yme1l1",0.16,0.0883,0.304
"Bhlhe41",0.131,0.0883,0.304
"Fmr1nb",0.121,0.0883,0.304
"Dppa5a",0.15,0.0883,0.304
"Hoxa9",0.127,0.0883,0.304
"Gucy2c",0.161,0.0883,0.304
"Prkcq",0.153,0.0883,0.304
"Prc1",0.178,0.0883,0.304
"Ncf1",0.181,0.0884,0.304
"Ubqln2",-0.237,0.0884,0.304
"Ibtk",-0.175,0.0884,0.304
"9430016H08Rik",-0.221,0.0885,0.304
"Upf2",0.173,0.0885,0.304
"Slc22a2",0.168,0.0885,0.304
"Klk1b4",0.155,0.0886,0.304
"Pbx1",-0.131,0.0886,0.304
"Ttc7b",-0.157,0.0886,0.304
"Rhoa",-0.133,0.0887,0.304
"Mir425",0.157,0.0888,0.304
"Smarcd1",0.156,0.0889,0.305
"Serpina1d///Serpina1a",0.167,0.0889,0.305
"Dct",-0.183,0.089,0.305
"Hspa4",-0.127,0.089,0.305
"Impdh1",0.11,0.089,0.305
"Gsx2",0.136,0.0891,0.305
"Kdm5a",-0.16,0.0891,0.305
"Adora2a",0.126,0.0891,0.305
"Parvb",0.175,0.0893,0.305
"Cox16",-0.0983,0.0894,0.306
"Afg3l2",-0.132,0.0894,0.306
"Sepsecs",-0.154,0.0894,0.306
"Hmha1",0.125,0.0895,0.306
"Scnm1",0.163,0.0895,0.306
"Rab21",0.111,0.0896,0.306
"Soat1",-0.186,0.0897,0.306
"Astn2",0.172,0.0898,0.307
"Dok5",0.148,0.0898,0.307
"Adcy3",0.137,0.0899,0.307
"Ski",0.192,0.0899,0.307
"Gtf2h3",0.174,0.09,0.307
"H6pd",0.127,0.0901,0.307
"Ptprz1",0.141,0.0901,0.308
"Tm9sf4",-0.143,0.0902,0.308
"Plekha4",0.151,0.0902,0.308
"Galm",-0.141,0.0902,0.308
"Rcl1",0.139,0.0903,0.308
"Dph7",-0.116,0.0904,0.308
"Gm4450///Gm10681///Hsd3b4",0.176,0.0904,0.308
"Gsk3b",0.147,0.0905,0.308
"Kri1",0.151,0.0905,0.308
"Akirin2",0.112,0.0905,0.308
"Tkt",-0.218,0.0905,0.308
"Vangl1",0.119,0.0906,0.308
"Apln",0.133,0.0906,0.308
"Cyp2c68",0.293,0.0906,0.308
"Cyp2j6",-0.182,0.0907,0.308
"Acbd6",0.16,0.0907,0.308
"Adss",-0.136,0.0907,0.308
"Icmt",0.194,0.0907,0.308
"Tns1",-0.18,0.0908,0.308
"Dbil5",-0.11,0.0908,0.308
"Vtn",0.149,0.0908,0.308
"Aldoc",-0.132,0.0909,0.309
"Baz2a",0.166,0.0909,0.309
"Nck2",-0.195,0.091,0.309
"Ndufs8",-0.111,0.091,0.309
"Cfi",0.158,0.0911,0.309
"Nacc2",0.119,0.0912,0.309
"Mfsd4b5",0.132,0.0912,0.309
"Acaca",-0.14,0.0912,0.309
"Slc26a5",0.179,0.0913,0.31
"Slc22a8",0.0947,0.0914,0.31
"Crybg3",0.184,0.0915,0.31
"Stap2",-0.143,0.0915,0.31
"Sufu",-0.196,0.0915,0.31
"Sel1l3",0.254,0.0916,0.31
"Dusp8",0.133,0.0917,0.31
"Tdpoz1",0.145,0.0917,0.31
"Cluap1",0.182,0.0917,0.31
"Zfp109",0.165,0.0917,0.31
"Bean1",0.107,0.0918,0.311
"Tmem9b",-0.134,0.0918,0.311
"St7l",-0.174,0.0919,0.311
"Smpd2",-0.133,0.0919,0.311
"Senp2",0.164,0.092,0.311
"Tulp3",0.119,0.092,0.311
"Rhbdd3",0.147,0.092,0.311
"Trp53inp1",0.249,0.0921,0.311
"Guca2b",0.193,0.0921,0.311
"Prl8a2",0.158,0.0924,0.312
"Iqcf3",0.152,0.0924,0.312
"Gm15085///Gm15093///Gm15114///Gm15080///Luzp4///Gm15107///Gm15128///Gm10439///Ott",-0.111,0.0924,0.312
"Dnm1",-0.205,0.0924,0.312
"Ptbp2",0.262,0.0924,0.312
"Cry1",0.217,0.0924,0.312
"Scd3",0.114,0.0925,0.312
"Klrb1f",0.157,0.0925,0.312
"Ppp1r8",-0.122,0.0925,0.312
"Gna12",-0.159,0.0925,0.312
"Esrrb",-0.13,0.0926,0.312
"Cyp4f16",0.248,0.0926,0.312
"Dcbld1",0.222,0.0927,0.312
"Slc8a1",0.108,0.0927,0.312
"Rngtt",0.0992,0.0927,0.312
"Pik3cg",0.162,0.0927,0.312
"Krtap19-1",0.167,0.0927,0.312
"Ank1",0.108,0.0927,0.312
"Tmlhe",-0.188,0.0927,0.312
"Rgs11",0.144,0.0928,0.312
"Adck1",-0.152,0.0928,0.312
"Dnah11",0.196,0.0929,0.312
"Nub1",-0.127,0.0929,0.312
"Camk1g",0.141,0.0929,0.312
"BC016579",0.167,0.093,0.313
"Clasp2",0.155,0.093,0.313
"Srsf4",0.128,0.093,0.313
"Nvl",-0.149,0.0931,0.313
"Fabp2",0.23,0.0931,0.313
"Qrich1",-0.14,0.0931,0.313
"Csnk1d",0.119,0.0931,0.313
"Enpp4",0.159,0.0932,0.313
"Syngr2",-0.118,0.0932,0.313
"Usmg5",-0.102,0.0933,0.313
"Ctr9",-0.157,0.0933,0.313
"Mycl",-0.192,0.0934,0.313
"Noc2l",0.132,0.0934,0.313
"Sox10",0.138,0.0935,0.314
"Ubac1",-0.148,0.0935,0.314
"Elovl4",-0.133,0.0935,0.314
"Edrf1",0.15,0.0935,0.314
"Ankzf1",-0.106,0.0936,0.314
"Chic1",-0.188,0.0936,0.314
"Neurog1",0.147,0.0936,0.314
"Celsr1",0.123,0.0937,0.314
"Adprhl2",0.113,0.0937,0.314
"Isy1",0.137,0.0937,0.314
"Fdft1",-0.274,0.0937,0.314
"Fxyd6",-0.128,0.0937,0.314
"Cks1b",0.178,0.0938,0.314
"Arl8a",-0.123,0.0938,0.314
"Ikbke",-0.168,0.0939,0.314
"Zfp282",0.2,0.0939,0.314
"Cntn3",0.116,0.0939,0.314
"Apobr",0.14,0.0941,0.315
"Ctnnb1",-0.175,0.0941,0.315
"Tpp1",-0.16,0.0941,0.315
"Styx",0.125,0.0942,0.315
"Insig2",-0.551,0.0942,0.315
"Ddit4",-0.508,0.0942,0.315
"Adamts8",0.168,0.0942,0.315
"Ints8",0.149,0.0942,0.315
"Fto",-0.181,0.0943,0.315
"Oasl1",0.203,0.0943,0.315
"Dsc1",-0.144,0.0943,0.315
"Cdk11b",-0.138,0.0945,0.315
"Kitl",-0.176,0.0946,0.316
"Cdx2",0.246,0.0946,0.316
"Nck1",0.14,0.0946,0.316
"Klhl24",-0.273,0.0947,0.316
"Pax6",0.162,0.0948,0.316
"B3gat1",0.123,0.0949,0.316
"Trim13",-0.129,0.0949,0.316
"Rnf167",-0.158,0.095,0.317
"Lama5",0.13,0.095,0.317
"Afp",-0.104,0.0951,0.317
"Nkain1",0.174,0.0952,0.317
"Lipe",0.173,0.0952,0.317
"Tle2",0.131,0.0953,0.317
"Socs2",0.604,0.0953,0.317
"Gca",-0.132,0.0954,0.317
"Syn2",0.12,0.0955,0.317
"Trim54",0.122,0.0955,0.317
"Trhr2",0.13,0.0955,0.317
"Gm12185",0.132,0.0955,0.317
"Arsa",0.211,0.0956,0.317
"D18Ertd232e",-0.381,0.0956,0.318
"Gart",-0.134,0.0958,0.318
